Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205.txt;32;2520,79;5;Tabou;835,18;5;10000;19621;1685,61;20
A3305.txt;33;2565,51;5;Tabou;783,63;5;10000;14729;1781,89;20
A3306.txt;33;2245,83;6;Tabou;941,14;6;10000;15698;1304,69;20
A3405.txt;34;2732,7;5;Tabou;808,11;5;10000;22410;1924,6;20
A3605.txt;36;2879,87;5;Tabou;941,06;5;10000;18548;1938,81;20
A3705.txt;37;3474,45;5;Tabou;1009,15;5;10000;27538;2465,3;20
A3706.txt;37;2416,54;6;Tabou;858,27;6;10000;27421;1558,27;20
A3805.txt;38;3110,38;5;Tabou;1034,64;5;10000;25643;2075,74;20
A3905.txt;39;2670,96;5;Tabou;1059,4;5;10000;28806;1611,56;20
A3906.txt;39;3577,15;6;Tabou;978,09;6;10000;25720;2599,06;20
A4406.txt;44;3120,79;6;Tabou;1073,35;6;10000;38600;2047,44;20
A4506.txt;45;3567,37;6;Tabou;1027,86;6;10000;39650;2539,51;20
A4507.txt;45;2781,36;7;Tabou;1108,99;7;10000;36344;1672,37;20
A4607.txt;46;3516,29;7;Tabou;1067,37;7;10000;38274;2448,92;20
A5307.txt;53;4178,61;7;Tabou;1288,24;7;10000;49931;2890,37;20
A5407.txt;54;4534,92;7;Tabou;1313,7;7;10000;48323;3221,22;20
A5509.txt;55;4145,62;9;Tabou;1445,81;9;10000;50496;2699,81;20
A6009.txt;60;6105,22;9;Tabou;1692,21;9;10000;73637;4413,01;20
A6109.txt;61;4576,92;9;Tabou;1648,4;9;10000;57884;2928,52;20
A6208.txt;62;4914,43;8;Tabou;1473,8;8;10000;105019;3440,63;20
A6310.txt;63;5310,72;10;Tabou;1687,57;10;10000;91837;3623,15;20
A6409.txt;64;3850,27;9;Tabou;1233,03;9;10000;90984;2617,24;20
A6509.txt;65;5216,0;9;Tabou;1580,65;9;10000;71135;3635,35;20
A6909.txt;69;6497,19;9;Tabou;1676,71;9;10000;110199;4820,49;20
A8010.txt;80;5784,72;10;Tabou;1722,51;10;10000;122043;4062,21;20
c101.txt;101;5950,77;10;Tabou;1243,8;10;10000;211749;4706,97;20
c201.txt;101;6685,66;10;Tabou;1357,81;10;10000;144298;5327,85;20
r101.txt;101;5090,72;8;Tabou;987,97;8;10000;449753;4102,74;20
