Nom fichier,Nb clients,Fitness de base,Nb vehicules min,Metaheuristique,Fitness resultat,Vehicules resultat,Nombre iterations,Temps d'execution,Amelioration fitness,Variation (µ),Température
A3205.txt,32,2735.09,5,Recuit simule,933.99,5,10000,380,1801.1,0.5,50
A3305.txt,33,2139.95,5,Recuit simule,734.93,5,10000,395,1405.01,0.5,50
A3306.txt,33,2240.06,6,Recuit simule,984.17,6,10000,387,1255.89,0.5,50
A3405.txt,34,2877.92,5,Recuit simule,1003.94,5,10000,414,1873.98,0.5,50
A3605.txt,36,2677.97,5,Recuit simule,877.18,5,10000,412,1800.79,0.5,50
A3705.txt,37,2523.09,5,Recuit simule,736.85,5,10000,415,1786.24,0.5,50
A3706.txt,37,2991.63,6,Recuit simule,1202.38,6,10000,447,1789.25,0.5,50
A3805.txt,38,3083.45,5,Recuit simule,1012.28,5,10000,433,2071.17,0.5,50
A3905.txt,39,2613.97,5,Recuit simule,906.07,5,10000,477,1707.9,0.5,50
A3906.txt,39,2860.92,6,Recuit simule,973.82,6,10000,454,1887.1,0.5,50
A4406.txt,44,2575.43,6,Recuit simule,922.37,6,10000,511,1653.06,0.5,50
A4506.txt,45,3586.18,6,Recuit simule,1155.88,6,10000,530,2430.3,0.5,50
A4507.txt,45,3185.41,7,Recuit simule,1101.74,7,10000,514,2083.67,0.5,50
A4607.txt,46,2940.85,7,Recuit simule,968.05,7,10000,506,1972.8,0.5,50
A5307.txt,53,4286.49,7,Recuit simule,1357.07,7,10000,582,2929.41,0.5,50
A5407.txt,54,3857.39,7,Recuit simule,1230.41,7,10000,578,2626.99,0.5,50
A5509.txt,55,4203.31,9,Recuit simule,1414.43,9,10000,637,2788.88,0.5,50
A6009.txt,60,4649.12,9,Recuit simule,1571.65,9,10000,656,3077.47,0.5,50
A6109.txt,61,3420.88,9,Recuit simule,1142.32,9,10000,650,2278.56,0.5,50
A6208.txt,62,4676.51,8,Recuit simule,1391.28,8,10000,631,3285.23,0.5,50
A6310.txt,63,3976.46,10,Recuit simule,1231.33,10,10000,691,2745.13,0.5,50
A6409.txt,64,5071.81,9,Recuit simule,1452.88,9,10000,686,3618.93,0.5,50
A6509.txt,65,5155.22,9,Recuit simule,1578.61,9,10000,685,3576.62,0.5,50
A6909.txt,69,4759.6,9,Recuit simule,1421.62,9,10000,708,3337.98,0.5,50
A8010.txt,80,4970.79,10,Recuit simule,1556.72,10,10000,831,3414.06,0.5,50
c101.txt,101,7331.18,10,Recuit simule,1503.74,10,10000,1028,5827.44,0.5,50
c201.txt,101,5774.6,10,Recuit simule,1253.42,10,10000,995,4521.18,0.5,50
r101.txt,101,5812.13,8,Recuit simule,1202.66,8,10000,974,4609.47,0.5,50
