Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205.txt;32;2660,91;5;Tabou;827,84;5;10000;10114;1833,07;1
A3305.txt;33;2467,34;5;Tabou;758,13;5;10000;8887;1709,21;1
A3306.txt;33;1935,48;6;Tabou;724,33;6;10000;10529;1211,15;1
A3405.txt;34;2356,09;5;Tabou;874,12;5;10000;11785;1481,97;1
A3605.txt;36;2343,4;5;Tabou;875,54;5;10000;11342;1467,86;1
A3705.txt;37;2461,65;5;Tabou;778,75;5;10000;20589;1682,9;1
A3706.txt;37;2465,11;6;Tabou;1071,21;6;10000;15340;1393,91;1
A3805.txt;38;3042,28;5;Tabou;928,68;5;10000;16825;2113,6;1
A3905.txt;39;2890,27;5;Tabou;844,89;5;10000;13107;2045,38;1
A3906.txt;39;2720,48;6;Tabou;857,52;6;10000;23313;1862,96;1
A4406.txt;44;3028,64;6;Tabou;1038,34;6;10000;19344;1990,29;1
A4506.txt;45;3382,5;6;Tabou;1070,63;6;10000;26598;2311,87;1
A4507.txt;45;4008,46;7;Tabou;1341,45;7;10000;18009;2667,02;1
A4607.txt;46;3301,48;7;Tabou;1204,16;7;10000;20310;2097,32;1
A5307.txt;53;3604,99;7;Tabou;980,0;7;10000;36661;2624,99;1
A5407.txt;54;4635,46;7;Tabou;1322,54;7;10000;27515;3312,92;1
A5509.txt;55;3710,26;9;Tabou;1315,86;9;10000;29189;2394,4;1
A6009.txt;60;3961,2;9;Tabou;1317,25;9;10000;107172;2643,95;1
A6109.txt;61;4147,71;9;Tabou;1319,84;9;10000;68284;2827,87;1
A6208.txt;62;5467,44;8;Tabou;1498,62;8;10000;96772;3968,82;1
A6310.txt;63;4756,89;10;Tabou;1791,68;10;10000;61322;2965,21;1
A6409.txt;64;3664,89;9;Tabou;1212,61;9;10000;60478;2452,28;1
A6509.txt;65;4307,97;9;Tabou;1358,08;9;10000;43421;2949,89;1
A6909.txt;69;5407,65;9;Tabou;1508,23;9;10000;67733;3899,42;1
A8010.txt;80;6396,56;10;Tabou;1649,28;10;10000;99426;4747,28;1
c101.txt;101;7724,61;10;Tabou;1630,22;10;10000;259570;6094,4;1
c201.txt;101;5778,26;10;Tabou;1200,45;10;10000;161251;4577,81;1
r101.txt;101;5656,51;8;Tabou;1051,33;8;10000;261736;4605,18;1
