i;x;y;q
0;61;99;0
1;95;7;14
2;45;87;1
3;15;47;16
4;39;75;23
5;55;23;12
6;29;71;6
7;87;79;5
8;75;63;1
9;65;61;13
10;73;35;20
11;17;35;14
12;39;99;18
13;75;77;7
14;49;37;8
15;85;31;21
16;89;71;8
17;89;43;24
18;79;81;20
19;45;5;19
20;93;69;13
21;49;69;3
22;63;25;26
23;93;33;17
24;39;45;22
25;89;33;8
26;47;77;16
27;29;19;20
28;13;65;12
29;33;9;22
30;63;9;20
31;41;13;12
32;67;75;14
33;41;27;25
34;49;77;17
35;57;81;19
36;45;5;20
37;83;7;15
38;81;61;2
39;57;81;9
40;93;89;10
41;17;13;6
42;89;27;11
43;7;25;21
44;35;35;24
