i;x;y;q
0;75;55;0
1;7;75;12
2;77;1;26
3;51;25;1
4;81;25;20
5;59;37;2
6;93;45;13
7;43;21;20
8;35;53;7
9;77;63;10
10;37;13;15
11;37;51;7
12;27;31;24
13;95;31;10
14;87;43;12
15;23;65;23
16;9;51;13
17;73;81;19
18;3;1;9
19;41;61;12
20;29;81;6
21;51;95;9
22;49;25;22
23;81;53;18
24;7;51;19
25;21;5;20
26;91;35;24
27;17;81;10
28;61;69;4
29;27;97;20
30;83;23;15
31;21;93;13
32;59;31;12
33;27;53;3
34;9;91;7
35;11;27;18
36;59;41;3
37;67;1;23
38;77;39;1
39;47;29;17
40;3;89;13
41;33;87;6
42;17;45;22
43;91;41;20
44;23;3;21
45;97;61;2
