i;x;y;q
0;97;33;0
1;57;81;10
2;1;33;15
3;55;57;23
4;29;37;23
5;21;39;24
6;93;37;17
7;5;91;1
8;25;11;4
9;47;37;2
10;87;25;5
11;67;65;18
12;71;89;9
13;67;15;8
14;45;79;23
15;71;57;13
16;29;1;4
17;59;79;18
18;93;83;16
19;47;41;26
20;51;41;16
21;23;93;4
22;87;95;23
23;39;45;8
24;45;7;26
25;85;51;16
26;35;93;5
27;47;79;2
28;59;91;21
29;83;51;23
30;49;65;8
31;21;55;5
32;51;21;8
33;69;43;26
34;37;41;12
35;37;95;8
36;5;71;3
37;37;47;8
38;83;73;19
39;17;71;16
40;5;71;2
41;81;17;3
42;59;33;17
43;63;87;7
44;21;77;5
45;71;51;8
46;21;17;4
47;9;7;12
48;65;43;19
49;25;63;19
50;13;57;26
51;47;43;24
52;77;9;5
53;57;55;8
54;21;33;22
55;27;59;9
56;83;9;18
57;63;69;19
58;9;35;15
59;25;55;5
60;33;3;11
61;53;11;12
62;51;49;54
63;9;23;8
