i;x;y;q
0;76;75;0
1;60;14;11
2;46;5;20
3;91;14;26
4;70;95;17
5;86;31;5
6;20;0;17
7;41;55;1
8;21;15;15
9;46;1;16
10;95;45;22
11;16;89;2
12;41;1;22
13;60;94;25
14;55;25;20
15;71;41;20
16;39;35;21
17;61;70;26
18;80;36;12
19;100;26;5
20;65;85;11
21;40;51;5
22;19;71;21
23;34;50;17
24;36;61;12
25;69;50;12
26;61;94;15
27;19;11;21
28;51;91;12
29;61;54;2
30;76;90;17
31;41;75;16
32;35;100;15
33;1;40;26
34;15;91;12
35;21;11;22
36;79;81;16
37;34;36;21
38;74;99;16
39;75;14;2
40;65;54;6
41;55;10;2
42;100;6;6
43;99;91;10
44;25;86;11
45;75;16;1
46;30;45;63
47;21;85;10
48;75;80;21
49;71;35;7
50;56;81;1
51;25;76;6
52;85;76;26
53;60;34;17
54;41;44;10
55;6;55;25
56;60;54;25
57;40;96;25
58;20;71;16
59;94;45;5
60;31;41;22
61;40;49;17
62;56;80;6
