i;x;y;q
0;24;63;0
1;35;60;2
2;79;46;12
3;3;45;14
4;42;50;2
5;3;40;17
6;29;96;20
7;47;30;2
8;54;77;26
9;36;30;7
10;83;86;24
11;30;6;23
12;55;29;13
13;13;2;25
14;1;19;20
15;98;1;3
16;75;10;18
17;39;23;23
18;62;91;6
19;96;9;2
20;27;87;13
21;14;16;22
22;52;49;3
23;95;21;6
24;30;6;7
25;18;40;1
26;82;90;18
27;50;79;18
28;48;49;10
29;82;73;2
30;64;62;9
31;34;78;10
32;83;6;8
33;3;77;30
34;18;8;16
35;53;86;23
36;88;51;2
37;77;51;18
38;58;89;22
39;12;44;1
40;70;88;8
41;36;17;4
42;85;23;26
43;93;30;21
44;68;67;2
45;71;34;15
46;56;73;25
47;37;37;22
48;78;20;19
49;88;69;3
50;95;42;3
51;44;71;5
52;18;1;13
