i;x;y;q
0;59;44;0
1;9;23;2
2;84;68;1
3;36;93;6
4;87;9;9
5;34;16;16
6;40;98;5
7;72;43;3
8;0;60;9
9;64;90;12
10;11;8;1
11;46;7;1
12;33;54;18
13;23;84;10
14;67;18;5
15;34;93;5
16;19;25;9
17;14;9;16
18;70;64;12
19;58;50;6
20;5;78;6
21;95;39;20
22;38;54;23
23;50;73;39
24;48;46;17
25;64;4;8
26;39;28;2
27;79;30;13
28;61;36;17
29;28;50;3
30;51;91;2
31;68;59;7
32;14;9;23
33;94;87;10
34;68;29;7
35;12;91;12
36;2;22;20
37;25;16;13
38;11;57;21
39;3;51;25
40;13;52;5
41;9;76;4
42;58;18;13
43;40;39;12
44;32;89;23
45;9;92;19
46;36;14;10
47;82;13;7
48;10;25;15
49;96;97;5
50;20;21;15
51;40;91;13
52;33;31;30
53;72;74;15
54;41;24;7
55;90;20;9
56;4;44;23
57;54;22;8
58;43;59;5
59;3;70;8
60;94;16;25
61;94;54;12
62;14;40;25
63;37;0;24
64;88;55;8
65;80;25;22
66;37;64;7
67;87;47;24
68;18;68;18
