i;x;y;q
0;2;48;0
1;64;71;26
2;33;83;18
3;77;89;16
4;96;61;8
5;53;55;7
6;38;10;11
7;7;40;4
8;7;1;9
9;73;68;9
10;4;24;16
11;82;56;7
12;30;56;6
13;38;62;1
14;42;53;2
15;5;49;22
16;1;85;23
17;94;4;4
18;50;70;3
19;35;69;20
20;14;41;7
21;94;73;1
22;23;96;2
23;96;88;12
24;74;94;22
25;68;52;6
26;73;22;11
27;92;96;12
28;4;48;2
29;24;10;14
30;52;72;14
31;61;46;2
32;38;9;9
33;90;15;20
34;58;41;2
35;93;41;18
36;8;74;19
37;13;87;18
38;34;68;4
39;84;97;16
40;35;20;26
41;96;79;3
42;73;87;23
43;21;1;16
44;28;93;10
45;55;94;9
46;56;84;21
47;68;99;24
48;30;53;24
49;85;49;19
50;85;2;12
51;0;30;16
52;12;71;6
53;26;55;2
54;72;75;2
55;71;21;2
56;33;49;23
57;51;2;16
58;93;7;26
59;70;22;21
60;54;53;2
61;26;17;7
