i;x;y;q
0;31;73;0
1;11;67;19
2;52;96;2
3;81;29;12
4;97;62;20
5;71;5;6
6;6;56;17
7;48;50;8
8;91;17;14
9;49;68;2
10;85;29;8
11;11;16;5
12;74;98;7
13;56;37;22
14;13;81;14
15;66;80;17
16;96;55;23
17;36;17;15
18;32;23;21
19;6;13;2
20;64;30;24
21;87;5;10
22;75;61;20
23;40;72;6
24;1;44;21
25;60;95;10
26;27;49;6
27;15;33;13
28;46;53;21
29;28;43;24
30;3;9;11
31;1;100;16
32;53;46;8
33;98;8;11
34;6;25;11
35;7;81;22
36;96;88;17
37;2;35;22
38;32;94;17
39;95;94;8
40;9;11;23
41;96;16;5
42;90;68;3
43;33;31;18
44;6;59;12
