i;x;y;q
0;61;5;0
1;85;53;24
2;17;57;9
3;49;93;15
4;69;11;17
5;87;15;2
6;49;39;19
7;87;23;10
8;19;83;17
9;69;87;20
10;69;43;16
11;49;67;8
12;17;61;12
13;45;61;3
14;21;53;23
15;71;37;4
16;53;23;23
17;77;63;20
18;89;7;2
19;21;83;19
20;77;25;2
21;85;95;23
22;43;93;23
23;75;25;5
24;1;43;12
25;7;7;15
26;81;69;9
27;23;57;13
28;81;15;18
29;77;35;16
30;49;3;7
31;21;93;6
32;41;37;2
33;71;91;8
34;31;13;2
35;69;33;2
36;91;47;4
37;13;69;13
38;65;75;18
39;91;27;9
40;9;85;19
41;15;19;3
42;7;37;14
43;61;11;19
44;59;83;21
45;85;69;4
46;15;29;6
47;1;13;22
48;1;83;13
49;85;31;10
50;95;25;18
51;5;33;5
52;51;11;9
53;51;85;36
