i;x;y;q
0;61;37;0
1;93;57;23
2;15;67;17
3;23;43;12
4;53;5;6
5;13;75;22
6;29;73;3
7;47;37;24
8;23;71;24
9;67;45;11
10;21;49;7
11;93;43;12
12;67;13;8
13;69;25;14
14;53;35;20
15;25;39;16
16;85;69;16
17;81;27;4
18;77;79;9
19;45;43;18
20;31;75;14
21;49;99;10
22;63;9;19
23;47;37;22
24;33;47;19
25;39;69;9
26;49;3;18
27;49;87;2
28;87;39;18
29;37;91;11
30;19;33;19
31;97;35;18
32;31;5;15
33;35;25;4
34;79;61;12
35;73;73;8
36;35;95;18
37;5;43;12
38;19;45;72
39;71;39;2
40;35;63;5
41;27;73;14
42;31;21;11
43;47;9;19
44;87;45;16
45;1;49;19
46;1;77;3
47;63;73;12
48;79;71;10
49;21;55;20
50;65;23;7
51;65;47;13
52;97;23;16
53;23;71;23
54;5;81;22
55;53;27;18
56;57;85;6
57;89;23;12
58;51;65;27
59;13;49;9
60;91;41;15
