i;x;y;q
0;25;51;0
1;35;7;12
2;93;75;24
3;53;95;16
4;51;81;7
5;51;55;9
6;1;67;20
7;9;23;10
8;75;7;18
9;15;97;26
10;79;5;17
11;9;19;2
12;39;1;11
13;47;1;9
14;33;97;12
15;27;83;11
16;83;79;12
17;17;59;23
18;47;19;7
19;57;9;1
20;87;41;26
21;55;25;10
22;21;91;9
23;21;13;22
24;67;1;21
25;59;21;17
26;1;75;2
27;33;85;15
28;25;21;16
29;45;29;14
30;63;77;23
31;1;77;24
32;77;41;2
33;35;11;12
34;9;77;18
35;61;87;5
36;59;91;19
37;63;79;15
38;97;67;8
39;9;45;6
40;93;21;14
41;83;71;13
42;95;57;5
43;31;69;24
44;77;17;25
45;63;57;2
46;3;63;8
47;11;69;14
48;7;9;2
49;37;65;13
50;75;83;10
51;15;53;6
52;69;5;6
53;69;27;24
54;5;19;21
55;49;31;20
56;77;17;24
57;15;7;4
58;91;39;19
59;79;17;14
60;67;75;23
61;93;51;2
62;25;33;16
63;9;19;23
64;3;65;14
